,Base,Compo2,Compo3,UNXP,DynEvo,NB_TO_EXPLAIN,NB_STEPS,ALL_UNXP
model80001.csv,242,37,16,6,6,301,2,0
model80002.csv,239,45,15,2,2,301,2,0
model80003.csv,239,48,12,2,2,301,2,0
model80004.csv,238,45,16,2,2,301,2,0
model80005.csv,252,44,5,0,0,301,1,0
model80006.csv,249,48,4,0,0,301,1,0
model80007.csv,248,45,8,0,0,301,1,0
model80008.csv,254,42,5,0,0,301,1,0
model80009.csv,251,45,5,0,0,301,1,0
model80010.csv,250,42,9,0,0,301,1,0
model80011.csv,241,52,8,0,0,301,1,0
model80012.csv,239,55,7,0,0,301,1,0
model80013.csv,238,51,12,0,0,301,1,0
model80014.csv,254,32,14,1,1,301,2,0
model80015.csv,251,40,9,1,1,301,2,0
model80016.csv,239,38,12,12,12,301,2,0
model80017.csv,236,46,14,5,5,301,2,0
model80018.csv,251,44,4,2,2,301,2,0
model80019.csv,248,47,5,1,1,301,2,0
model80020.csv,238,54,7,2,2,301,2,0
model80021.csv,236,57,7,1,1,301,2,0
model80022.csv,267,30,4,0,0,301,1,0
model80023.csv,263,34,4,0,0,301,1,0
model80024.csv,261,36,4,0,0,301,1,0
model80025.csv,259,39,3,0,0,301,1,0
model80026.csv,262,34,4,1,1,301,2,0
model80027.csv,258,39,4,0,0,301,1,0
model80028.csv,256,40,5,0,0,301,1,0
model80029.csv,254,43,4,0,0,301,1,0
model80030.csv,263,35,3,0,0,301,1,0
model80031.csv,259,39,3,0,0,301,1,0
model80032.csv,257,41,3,0,0,301,1,0
model80033.csv,258,40,3,0,0,301,1,0
model80034.csv,254,43,4,0,0,301,1,0
model80035.csv,252,45,4,0,0,301,1,0
model80036.csv,256,29,16,0,0,301,1,0
model80037.csv,253,36,12,0,0,301,1,0
model80038.csv,250,34,16,1,1,301,2,0
model80039.csv,247,42,12,0,0,301,1,0
model80040.csv,253,40,7,1,1,301,2,0
model80041.csv,250,44,6,1,1,301,2,0
model80042.csv,247,46,7,1,1,301,2,0
model80043.csv,244,49,7,1,1,301,2,0
model80044.csv,240,41,14,6,6,301,2,0
model80045.csv,237,48,13,3,3,301,2,0
model80046.csv,236,51,11,3,3,301,2,0
model80047.csv,235,49,14,3,3,301,2,0
model80048.csv,239,53,8,1,1,301,2,0
model80049.csv,236,57,7,1,1,301,2,0
model80050.csv,235,54,10,2,2,301,2,0
model80051.csv,236,42,17,6,6,301,2,0
model80052.csv,233,49,16,3,3,301,2,0
model80053.csv,235,55,9,2,2,301,2,0
model80054.csv,232,59,8,2,2,301,2,0
model80055.csv,235,45,19,2,2,301,2,0
model80056.csv,237,44,18,2,2,301,2,0
model80057.csv,236,45,19,1,1,301,2,0
model80058.csv,238,45,18,0,0,301,1,0
model80059.csv,220,51,23,7,7,301,2,0
model80060.csv,223,50,26,2,2,301,2,0
model80061.csv,240,42,16,3,3,301,2,0
model80062.csv,238,41,19,3,3,301,2,0
model80063.csv,232,50,16,3,3,301,2,0
model80064.csv,230,49,21,1,1,301,2,0
model80065.csv,263,32,6,0,0,301,1,0
model80066.csv,264,31,6,0,0,301,1,0
model80067.csv,264,32,5,0,0,301,1,0
model80068.csv,265,31,5,0,0,301,1,0
model80069.csv,251,34,14,2,2,301,2,0
model80070.csv,253,33,15,0,0,301,1,0
model80071.csv,255,38,7,1,1,301,2,0
model80072.csv,255,37,7,2,2,301,2,0
model80073.csv,256,37,8,0,0,301,1,0
model80074.csv,256,37,8,0,0,301,1,0
model80075.csv,243,40,16,2,2,301,2,0
model80076.csv,244,39,18,0,0,301,1,0
model80077.csv,265,31,5,0,0,301,1,0
model80078.csv,264,29,8,0,0,301,1,0
model80079.csv,258,37,5,1,1,301,2,0
model80080.csv,257,35,9,0,0,301,1,0
model80081.csv,257,36,7,1,1,301,2,0
model80082.csv,255,33,11,2,2,301,2,0
model80083.csv,250,42,8,1,1,301,2,0
model80084.csv,248,39,14,0,0,301,1,0
model80085.csv,258,33,9,1,1,301,2,0
model80086.csv,245,35,13,8,8,301,2,0
